1600,10011,114,17,170,11,166,0,2,200,2.1,333,500,10,1
4844576,19991,113,15,150,6,101,0,4,250,1,444,800,10,1
27255424,0,2580,78,780,45,450,0,27,870,0,0,1000,54,0
51184352,9768,108,19,190,0,0,0,5,263,0,1000,1000,30,2
53160672,0,108,9,101,0,0,0,5,81,0,0,1000,30,2
22543776,9779,3314,60,600,0,0,0,7,538,0,3500,1000,54,2
68561984,0,7636,99,990,0,0,0,190,950,0,0,1000,54,2
1068160,0,103,22,220,0,0,0,17,257,0,0,1000,52,2
7066912,0,222,29,1000,0,0,0,29,1000,0,0,1000,20,0
49547712,58572,581,6,60,1,1000,0,4,53,1,4000,800,20,0
24616448,3784525,551,16,160,0,0,0,2,285,0,0,1000,20,0
47552576,10013,114,15,150,15,150,0,2,500,0,1000,1000,10,1
42406976,0,117,12,120,12,120,0,3,600,1,3000,750,20,1
93261728,2762384,108,32,320,35,760,0,6,750,4,1500,600,511,0
54209600,0,108,6,60,0,0,0,1,58,0,166,1000,30,2
39671744,0,118,18,180,7,70,0,2,333,1,666,666,20,1
77209440,9999,114,11,110,21,207,0,2,285,2,1000,500,10,1
37593664,332112,108,19,190,0,0,0,2,285,0,0,1000,30,0
55990656,18200750,318,7,70,0,0,0,3,157,0,0,1000,20,2
13264128,1162056,108,50,500,40,952,0,8,533,3,2666,727,511,0
98141120,0,114,15,150,3,107,0,2,200,1,400,666,10,0
84996352,0,107,10,100,0,0,0,10,90,0,0,1000,30,2
10612640,0,115,20,200,0,0,0,3,230,0,0,1000,10,0
26267072,0,2168,44,440,0,0,0,18,818,0,0,1000,54,2
9494624,2024941,108,37,370,37,770,0,4,500,2,2000,666,511,0
51197504,58519,107,10,100,0,0,0,1,111,0,0,1000,30,2
2831040,0,114,17,170,13,128,0,3,250,2,500,600,10,1
85289216,0,671,18,180,0,0,0,21,182,0,0,1000,20,0
59656448,0,104,43,430,41,422,0,5,500,3,1666,625,52,0
95180832,0,108,8,80,4,571,0,3,333,1,750,750,511,0
33077888,1132771,107,7,70,0,0,0,1,166,0,0,1000,30,2
64485824,8283796,107,7,70,0,0,0,2,400,0,0,1000,30,0
95647232,2273194,292,7,142,0,0,0,2,222,0,0,1000,20,2
93306304,10199,215,19,190,0,0,0,3,214,0,0,1000,20,0
98593440,4297506,118,18,180,15,150,0,2,500,1,2000,666,20,1
73036416,0,114,14,140,17,168,0,4,210,2,400,666,10,1
43714432,0,5977,18,180,0,0,0,14,159,0,0,1000,50,0
38128896,19981,114,14,140,18,178,0,1,66,1,166,500,10,1
16343136,0,108,12,120,0,0,0,19,136,0,0,1000,30,0
61819968,4082088,115,9,90,41,410,0,2,250,0,0,1000,10,0
65771232,0,114,8,80,2,117,0,6,222,1,666,857,10,1
22810368,10967268,108,18,180,0,0,0,2,333,0,0,1000,30,0
38421472,14995398,143,16,160,0,0,0,3,214,0,0,1000,20,0
43798336,58579,108,7,70,0,0,0,8,68,0,0,1000,30,2
68327232,2088043,115,19,190,0,0,0,4,307,0,0,1000,10,0
35121472,145342,108,18,180,0,0,0,2,400,0,0,1000,30,0
39818560,7084078,108,15,150,29,707,0,5,312,3,833,625,511,0
92098496,6449525,573,16,160,0,0,0,1,142,0,0,1000,20,0
41676416,9775,108,7,70,0,0,0,1,111,0,0,1000,30,2
24753184,2133419,396,19,190,0,0,0,3,214,0,0,1000,20,0
41166464,0,115,4,40,0,0,0,1,76,0,200,1000,10,2
42421184,0,114,19,190,7,194,0,3,166,1,333,750,10,1
9033664,1447560,108,32,320,36,765,0,4,571,3,1333,571,511,0
55643680,5142993,364,16,160,0,0,0,3,300,0,0,1000,20,0
35663360,0,2898,61,610,0,0,0,22,709,0,11000,1000,54,2
46849504,8641903,107,8,80,0,0,0,2,51,0,0,1000,30,2
48233344,9474928,413,17,170,0,0,0,2,333,0,0,1000,20,0
39444544,73008,347,19,190,0,0,0,3,250,0,0,1000,20,0
54605792,246047,108,15,150,0,0,0,3,272,0,0,1000,30,0
579968,0,108,6,60,0,0,0,3,60,0,0,1000,30,2
54318752,0,107,14,140,5,50,0,1,90,0,0,1000,30,0
46552288,10013,113,15,150,15,150,0,3,428,1,750,750,10,1
40543488,0,114,19,190,13,130,0,2,200,0,500,1000,10,1
34195072,0,114,1,12,1,90,0,1,47,1,100,500,10,1
90728416,3500108,599,18,180,0,0,0,1,142,0,0,1000,20,0
4560320,10018,118,17,170,11,110,0,3,300,1,1000,750,20,1
